,nombre_del_platillo,tiempo_preparacion,porciones,ingredientes,instrucciones,nutricion
970,Umm Ali,40 mins,8,"1 (17.25 onzas) Paquete de hojaldre congelado, descongelado, 5 tazas de leche, 1 taza de azúcar blanca, 1 cucharadita de extracto de vainilla, ¼ de taza de pasas, ¼ de taza de almendras, ¼ de taza de piñones, ¼ de taza de pistola picada, ¼ de taza de endulzada, copos de coco","Precaliente el horno a 400 grados F (200 grados C). Desenrolle las hojas de hojaldre y colóquelo en una bandeja para hornear. Hornee durante 15 minutos en el horno precalentado, o hasta que estén hinchadas y doradas.
Rompe la hojaldre en pedazos y colóquelo en un tazón grande. Agregue las pasas, almendras, piñones, pistachos y coco, y mezcle para distribuir. Vierta en una fuente para hornear de vidrio de 9x13 pulgadas y extienda uniformemente.
Vierta la leche en una cacerola y agregue el azúcar y la vainilla. Caliente hasta que esté caliente pero no hirviendo. Vierta sobre la mezcla en la fuente para hornear.
Hornee durante 15 minutos en el horno precalentado. Gire el horno a asar y asar durante 2 minutos para dorar la parte superior. Retirar del horno y dejar reposar durante 5 minutos. Servir caliente.","Total de grasa 33g 42%, grasas saturadas 9G 45%, colesterol 12mg 4%, sodio 237mg 10%, carbohidrato total 67 g 24%, fibra dietética 2G 8%, azúcares totales 37 g, proteína 12 g, vitamina C 1 mg 3%, calcio 204mg 16 16 %, Hierro 2mg 13%, potasio 406mg 9%"
971,lamingtons,1 day 1 hrs 55 mins,24,"2 tazas de harina para todo uso, 4 cucharaditas en polvo de horno, ? cucharadita de sal, ½ taza de mantequilla, temperatura ambiente, ¾ taza de azúcar blanco, 1 cucharadita de extracto de vainilla, 2 huevos, temperatura ambiente, ½ taza de leche","Precaliente el horno a 375 grados F (190 grados C). Engrase y harina una sartén de 8x12 pulgadas.
Tamizar juntos la harina, el polvo para hornear y la sal. Dejar de lado.
Batir 1/2 taza de mantequilla y 3/4 taza de azúcar con una batidora eléctrica en un tazón grande hasta que estén ligeros y esponjosos. La mezcla debe ser notablemente más clara de color. Agregue los huevos de temperatura ambiente uno a la vez, permitiendo que cada huevo se mezcle con la mezcla de mantequilla antes de agregar la siguiente. Batir en la vainilla con el último huevo. Vierta la mezcla de harina alternativamente con la leche, mezclando hasta que se incorpore.
Vierta la masa en la sartén preparada. Hornee en el horno precalentado hasta que un palillo insertado en el pastel salga limpio, de 30 a 40 minutos. Deje reposar 5 minutos, luego gire en una rejilla y enfríe por completo. Envuelva con una envoltura de plástico y almacene durante la noche a temperatura ambiente para darle al pastel la oportunidad de reafirmarse antes de cortar.
Para hacer la guinda: en un tazón grande, combine el azúcar y el cacao de los confitores. Agregue la mantequilla derretida y la leche caliente y mezcle bien para crear una glaseada fluida, pero no demasiado líquida.
Corta el pastel en 24 cuadrados. Coloque el papel pergamino o el papel encerado en una superficie de trabajo y coloque una rejilla de alambre en el papel. Vierta el coco rallado en un tazón poco profundo. Usando un tenedor, sumerja cada cuadrado en la formación de hielo, cubriendo todos los lados, luego enróllelo en el coco. Coloque en la rejilla para que se seque. Continúe hasta que todos los lamingtons estén recubiertos.","Total de grasa 18G 23%, grasa saturada 14G 72%, colesterol 29mg 10%, sodio 124mg 5%, carbohidrato total 40G 15%, fibra dietética 4G 14%, azúcares totales 28 g, proteína 4G, vitamina C 0mg 2%, calcio 80mg 6 6% %, Hierro 1 mg 8%, potasio 154mg 3%"
972,Coconut Pecan Frosting II,15 mins,12,"1 taza de leche evaporada, 1 taza de azúcar blanca, 3 yemas de huevo, ½ taza de mantequilla, 1 cucharadita de extracto de vainilla, 1 ½ tazas de coco en rayas, 1 taza de nueces picadas","En una cacerola a fuego medio, combine la leche, el azúcar, las yemas de huevo, la mantequilla y la vainilla. Cocine, revolviendo con frecuencia, hasta que espese. Retire del fuego y agregue el coco y las nueces.","Total de grasa 20G 25%, grasas saturadas 9G 46%, colesterol 78 mg 26%, sodio 105mg 5%, carbohidrato total 25 g 9%, fibra dietética 2G 6%, azúcares totales 23G, proteína 3G, vitamina C 1 mg 3%, calcio 70mg 5 5 %, Hierro 1 mg 3%, potasio 142mg 3%"
973,Bionicos (tazones mexicanos),30 mins,4,"? Copa de yogurt liso, ? Copa de leche condensada endulzada, ? Copa de crema mexicana, 1 cucharadita de extracto de vainilla","Mezcle el yogurt, la leche condensada endulzada y la crema en un tazón. Agregue extracto de vainilla y revuelva hasta que esté bien incorporado.
Divida el melón, la papaya, la manzana y el plátano entre 4 tazones individuales, organizándolos en secciones separadas. Coloque las fresas en el centro de cada tazón. Cubra cada tazón con 1/8 taza de cada granola, pasas y coco.
Rocíe 1/4 de taza de la mezcla de crema sobre cada tazón de frutas.","Total de grasa 17G 22%, grasas saturadas 10G 48%, colesterol 37 mg 12%, sodio 94mg 4%, carbohidrato total 66 g 24%, fibra dietética 6G 23%, azúcares totales 48 g, proteína 8g, vitamina C 65mg 324%, calcio 154mg 12 12 de 124 mg 12 %, Hierro 2mg 9%, potasio 816mg 17%"
974,Pastel de la reina Isabel I,1 hrs 30 mins,12,"1 taza de agua hirviendo, 1 taza de fechas, picada y picada, ¼ de taza de mantequilla, suavizado, 1 taza de azúcar blanca, 1 huevo, 1 cucharadita de extracto de vainilla, 1 ½ tazas de harina para todo uso, 1 cucharadita de bicarbonato de sodio, 1 cucharadita de hornear, polvo de hornear, polvo de horno, ½ cucharadita de sal, ½ taza de nueces picadas, 1 taza de coco en forma de coco en copa de azúcar morena, 6 cucharadas de mantequilla, ¼ de taza de crema","Vierta el agua hirviendo sobre las fechas en un tazón pequeño y deje reposar hasta que se enfríe.
Mida la harina, el polvo de hornear, el sodio, la sal y las nueces en un tazón pequeño. Revuelva para mezclar.
Crema 1/4 taza de mantequilla o margarina y azúcar blanca juntos en un tazón de mezcla; Batir en huevo y vainilla. Agregue la mezcla de harina a la mezcla de crema en tres partes alternativamente con la mezcla de fecha en dos partes, comenzando y terminando con una mezcla seca. Extienda la masa en una sartén engrasada de 9 x 13 pulgadas.
Hornee a 350 grados F (175 grados C) durante 30 a 40 minutos, o hasta que salga una selección de madera insertada.
Para hacer la cobertura: mezcle coco, azúcar morena, 6 cucharadas de mantequilla y crema en una cacerola pequeña a fuego medio. Hervir por tres minutos. Extienda sobre el pastel tibio y marrón debajo del asador.","Total de grasa 17G 22%, grasas saturadas 9G 47%, colesterol 48mg 16%, sodio 340mg 15%, carbohidrato total 54 g 20%, fibra dietética 2G 8%, azúcares totales 39G, proteína 4G, vitamina C 0mg 1%, calcio 54mg 4 4 %, Hierro 1 mg 7%, potasio 170 mg 4%"
975,Arroz de coco dulce,25 mins,4,"1 ½ tazas de arroz blanco de grano largo, 1 (14 onzas) puede leche de coco, 1 ¼ tazas de agua, 1 cucharadita de azúcar blanca, o más al gusto, 1 cucharada de coco rallado o al gusto (opcional)","Revuelva el arroz, la leche de coco y el agua en una cacerola. Disolver el azúcar en el líquido.
Lleve la mezcla a fuego lento, reduzca el fuego a medio-bajo, coloque una cubierta en la cacerola y cocine a fuego lento hasta que la mayoría del líquido haya sido absorbido por el arroz, de 15 a 20 minutos. Dejando la cacerola en el quemador, apague el fuego y deje vapor de arroz hasta que esté pegajoso, aproximadamente de 5 a 10 minutos más. Decorar con coco rallado.","Total de grasa 22g 28%, grasas saturadas 19G 95%, sodio 22 mg 1%, carbohidrato total 60G 22%, fibra dietética 2G 8%, azúcares totales 2G, proteína 7 g, vitamina C 1 mg 5%, calcio 39mg 3%, hierro 6mg 34 34 34 %, Potasio 300 mg 6%"
976,Pastel de coco,,8,"1 taza de azúcar blanca, 2 cucharadas de harina para todo uso, ½ taza de mantequilla, 3 huevos, 1 cucharadita de extracto de vainilla, 1 taza de leche, 1 taza","Mezcle la harina con azúcar. Crema en mantequilla y huevos. Mezcle la vainilla y la leche hasta que estén bien combinados. Doblar en coco. Vierta en la corteza de pastel preparada.
Hornee a 300 grados F (150 grados C) durante una hora. Enfriar completamente antes de cortar.","Total de grasa 24 g 31%, grasa saturada 13G 63%, colesterol 103mg 34%, sodio 264mg 11%, carbohidrato total 43g 16%, fibra dietética 2G 6%, azúcares totales 30 g, proteína 5G, vitamina C 0mg 1%, calcio 53mg 4 4 %, Hierro 1 mg 7%, potasio 125mg 3%"
977,Pastel de crema de coco i,1 hrs 15 mins,8,"1 (9 pulgadas) concha de pastel, horneada, 1 (5 onzas) Mezcla de budín de vainilla instantánea, 1 ½ tazas de leche, 1 ½ tazas de coco en rayas, 1 (8 onzas) recipiente batido congelado, descongelado","En un tazón grande, combine la mezcla de budín y la leche hasta que la mezcla de budín se espese. Dobla 1 taza de coco y la mitad de la nogre no lata en el budín. Vierta la combinación en la corteza de pastel preparada.
Extienda el resto de la cobertura de batido no lactante en la parte superior del pastel. Espolvorea con el resto del coco. Refrigere y sirva frío.","Total de grasa 20G 25%, grasa saturada 12G 62%, colesterol 4 mg 1%, sodio 439mg 19%, carbohidrato total 43g 16%, fibra dietética 2G 6%, azúcares totales 27 g, proteína 4G, vitamina C 0mg 1%, calcio 61mg 5 5 %, Hierro 1 mg 5%, potasio 141mg 3%"
978,Pollo con curry de coco instantáneo,1 hrs 5 mins,4,"1 cucharada de aceite de coco, 1 ceboll caldo de pollo, 2 cucharadas de azúcar blanca, 2 libras de pechugas de pollo, sal al gusto, pimienta negra molida al gusto, 1 (14 onzas) puede leche de coco","Encienda una olla a presión multifuncional (como la olla instantánea) y seleccione la función de salteado. Agregue aceite de coco; Cuando esté caliente, agregue la cebolla y cocine por 1 minuto. Agregue 2 cucharadas de curry en polvo y ajo. Mezcle bien y cocine por 2 minutos. Apague la función de salteado. Agregue los tomates en cubitos, la salsa de tomate, el caldo de pollo y el azúcar.
Punga agujeros en cada pechuga de pollo con un tenedor. Espolvorea con sal, pimienta y polvo de curry restante. Agregue pollo sazonado a la olla. Cierre y bloquee la tapa. Seleccione alta presión de acuerdo con las instrucciones del fabricante; Configure el temporizador durante 10 minutos. Deje de 10 a 15 minutos para que la presión se construya.
Libere la presión utilizando el método de liberación natural de acuerdo con las instrucciones del fabricante durante 10 minutos. Libere la presión restante cuidadosamente utilizando el método de liberación rápida de acuerdo con las instrucciones del fabricante, aproximadamente 5 minutos. Desbloquee y retire la tapa.
Retire el pollo; Use 2 horquillas para triturar la carne y devolverla a la olla. Encender la función de salteado; Cocine y revuelva hasta que el líquido esté hirviendo ligeramente, de 2 a 3 minutos.
Gire la olla a presión a la configuración caliente. Agregue la leche de coco y revuelva bien; Cocine por 10 minutos más para permitir que los sabores se reúnan.









","Total de grasa 31G 39%, grasas saturadas 23G 116%, colesterol 130mg 43%, sodio 766mg 33%, carbohidrato total 22 g 8%, fibra dietética 5G 18%, azúcares totales 13G, proteína 52G, vitamina C 16mg 78%, calcio 114mg 9 9 ment %, Hierro 9mg 51%, potasio 1038mg 22%"
979,Arroz con lima de coco,40 mins,2,"1 taza de arroz basmati, 1 cucharada de aceite de coco, 1 cucharadita de mantequilla, ¼ de taza de coco en escamas, 1 taza de leche de coco, 1 taza de caldo de pollo, sal, sabor, 1 lima, zestado y exprimido, pimiento negro molido, sabor","Enjuague el arroz hasta que el agua corra despejada; fuga. Caliente el aceite de coco y la mantequilla en una sartén grande a fuego medio-alto. Cocine y revuelva el arroz y las hojuelas de coco durante 3 a 4 minutos. Agregue el jugo de lima, luego agregue la leche de coco, el caldo de pollo, la sal y la ralladura de lima. Lleve a ebullición baja, luego cubra y reduzca el fuego a bajo. Cocine por 20 minutos. Retirar del fuego y mantener cubierto durante 5 minutos. Flosa con tenedor y temporada con pimienta.","Total de grasa 37G 47%, grasa saturada 32G 159%, colesterol 5mg 2%, sodio 56mg 2%, carbohidrato total 85 g 31%, fibra dietética 4G 14%, azúcares totales 4G, proteína 10G, vitamina C 11mg 56%, calcio 42mg 3 3 %, Hierro 5mg 26%, potasio 323mg 7%"
980,Arroz de coco,30 mins,7,"2 ½ tazas de arroz basmati, 4 (10 onzas) latas de leche de coco, 1 pellizca de sal","En una cacerola grande a fuego alto, combine el arroz, la leche de coco y la sal; llevar a ebullición.
Reduzca el fuego, cubra y cocine a fuego lento durante 20 a 25 minutos, o hasta que el líquido se absorba y el arroz esté tierno.","Total de grasa 33G 43%, grasa saturada 29G 145%, sodio 20mg 1%, carbohidrato total 57 g 21%, fibra dietética 2G 8%, azúcares totales 0G, proteína 8G, vitamina C 2mg 9%, calcio 32mg 2%, hierro 5mg 29 %, Potasio 334mg 7%"
981,Flan de Coco (Coconut Flan),9 hrs 10 mins,12,"1 ½ tazas de azúcar blanca, 1 (14 onzas) lata de leche condensada endulzada, 1 (12 onzas líquidas) lata de leche evaporada, ½ taza de leche, 6 huevos, ½ taza de coco rallado fresco","Precaliente el horno a 350 grados F (175 grados C).
Coloque 1 taza de azúcar en una cacerola pequeña a fuego medio. Cocine suavemente, sin revolver, pero sacudir ocasionalmente hasta que el azúcar se haya derretido. Continúe cocinando hasta que el azúcar se haya derretido por completo y se doró. Vierta en una fuente grande para hornear de vidrio. Extienda el caramelo uniformemente sobre la parte inferior del plato, luego deje a un lado para enfriar durante 15 minutos antes de continuar.
Una vez que el caramelo se haya endurecido, vierta la leche condensada, la leche evaporada, la leche, los huevos, 1/2 taza de azúcar y coco en una licuadora. Mezcle durante 3 minutos hasta que esté suave. Vierta en la fuente para hornear sobre el caramelo.
Hornee en el horno precalentado durante 45 minutos hasta que esté listo. Cuando termine, retire del horno y deje enfriar durante 30 minutos. Pase un cuchillo alrededor de los bordes del plato para separar el flan de los lados. Refrigerar durante la noche.","Total de grasa 9G 12%, grasas saturadas 5G 26%, colesterol 114mg 38%, sodio 115mg 5%, carbohidrato total 47g 17%, fibra dietética 0 g 1%, azúcares totales 47 g, proteína 8g, vitamina C 2mg 8%, calcio 201mg 15 15 %, Hierro 1 mg 4%, potasio 278 mg 6%"
982,Sweet Coconut Oatmeal,25 mins,3,"1 (14 onzas) Leche de coco, 1 taza de avena enrollada, 2 cucharadas de miel, ¼ de taza de copos de coco (opcional), 2 cucharadas de azúcar morena o más al gusto, 1 cucharadita de canela molida","Lleve la leche de coco a ebullición suave en una cacerola pequeña a fuego medio-bajo. Agregue la avena y la miel; Baje el fuego y cocine a fuego lento hasta que la leche se haya absorbido principalmente, aproximadamente 15 minutos.
Espolvorea copos de coco, azúcar morena y canela en avena. Cocine hasta que la avena esté cremosa y se combinen los sabores, aproximadamente 5 minutos.","Total de grasa 35G 44%, grasa saturada 30 g 148%, sodio 25 mg 1%, carbohidrato total 45g 16%, fibra dietética 6g 21%, azúcares totales 21 g, proteína 7 g, vitamina C 2 mg 8%, calcio 56mg 4%, hierro 6mg 33 33%33 %, Potasio 450mg 10%"
983,Sin pastel de coco de corteza,,8,"4 huevos, batidos, ¼ de taza de mantequilla, ½ taza de harina autónoma, 1 cucharadita de extracto de vainilla, 1 tazas de azúcar blanca, 2 tazas de leche, 7 onzas de coco en escamas","Precaliente el horno a 325 grados F (165 grados C).
En un tazón grande, combine huevos, mantequilla o margarina, harina, vainilla, azúcar, leche y coco. Mezclar bien.
Vierta en un plato de pastel de plato de profundidad de 10 pulgadas.
Hornee a 325 grados F (165 grados C) durante 30 a 40 minutos. La corteza se formará en la parte inferior.","Total de grasa 17G 21%, grasa saturada 12G 59%, colesterol 113 mg 38%, sodio 271mg 12%, carbohidrato total 66 g 24%, fibra dietética 3G 10%, azúcares totales 56 g, proteína 7 g, vitamina C 0mg 1%, calcio 116mg 9 9 %, Hierro 1 mg 7%, potasio 228 mg 5%"
984,Pastel de leche de coco de coco,1 hrs,24,"2 tazas de azúcar blanca, 1 taza de mantequilla, suavizado, 4 huevos, separados, 1 taza de coco rallado sin azúcar, 2 tazas de harina de uso múltiple, 2 cucharadas de hornear en polvo, 1 cucharadita de sal, 1 (14 onzas) puede leche de coco","Precaliente el horno a 350 grados F (175 grados C). Engrase un molde para pastel de 9x13 pulgadas.
Batir el azúcar, la mantequilla y las yemas de huevo juntas en un tazón con una batidora eléctrica hasta que estén suaves y cremosas; Agregue coco rallado.
Batir la harina, el polvo de hornear y la sal en un tazón. Mezcle la mezcla de mantequilla de crema, alternando con leche de coco, en la mezcla de harina hasta que la masa se mezcle.
Batir las claras de huevo en un tazón de vidrio o metal hasta que se formen picos suaves. Levante su batidor o batir hacia arriba: las claras de huevo formarán montículos suaves en lugar de un pico afilado. Dobla las claras de huevo en la masa. Vierta la masa en el molde para pastel preparado.
Hornee en el horno precalentado hasta que un palillo insertado en el centro del pastel salga limpio, aproximadamente 45 minutos.","Total de grasa 15g 19%, grasa saturada 10 g 52%, colesterol 51mg 17%, sodio 289mg 13%, carbohidrato total 26 g 10%, fibra dietética 1G 4%, azúcares totales 17G, proteína 3G, vitamina C 0mg 1%, calcio 80mg 6 6 %, Hierro 1 mg 8%, potasio 82mg 2%"
985,5 taza de ensalada,5 hrs 10 mins,8,"1 taza de mini malvaviscos, 1 taza de coco rallado, 1 taza de naranjas de mandarín drenadas, 1 taza de piña drenada, 1 taza de crema agria","Mezcle malvaviscos, coco, naranjas, piña y crema agria en un tazón. Cubra y refrigere hasta que los sabores se mezclen, de 5 a 6 horas.","Total de grasa 9G 11%, grasa saturada 6 g 31%, colesterol 13mg 4%, sodio 51mg 2%, carbohidrato total 19G 7%, fibra dietética 1 g 5%, azúcares totales 15 g, proteína 2g, vitamina C 14mg 70%, calcio 42mg 3 g. %, Hierro 0 mg 2%, potasio 156 mg 3%"
986,Arroz con leche cremosa de coco arroz,55 mins,10,"3 tazas de agua, 1 ½ tazas de arroz basmati, 3 tazas de leche de coco, 1 ½ tazas de azúcar cruda, ½ cucharadita de sal marina, 1 taza de leche entera, 2 huevos, batidos, ¼ de taza de mantequilla sin sal, 1 cucharada de extracto de vainilla, 2 buqueizaciones de canela molida de canela molida , 1 cucharadita de nuez moscada, 1 (15 onzas) lata de duraznos en rodajas, drenados y picados (opcionales), 1 taza de pasas o más al gusto (opcional)","Lleve agua y arroz a ebullición en una cacerola. Reduzca el fuego a medio-bajo, cubra y cocine a fuego lento hasta que el arroz esté tierno y el líquido se haya absorbido, aproximadamente 20 minutos.
Combine el arroz, la leche de coco, el azúcar y la sal en una cacerola grande; llevar a ebullición. Reduzca el fuego y cocine a fuego lento hasta que el budín esté grueso y cremoso, de 18 a 20 minutos. Revuelva la leche y los huevos en el budín, revolviendo constantemente para evitar que el budín se pegue, al menos 2 minutos.
Retire el budín del fuego y agregue la mantequilla, la vainilla, la canela y la nuez moscada hasta que estén completamente mezclados. Doblar duraznos y pasas en el pudín; Servir caliente.","Total de grasa 21G 27%, grasa saturada 17G 84%, colesterol 52mg 17%, sodio 138mg 6%, carbohidrato total 72 g 26%, fibra dietética 2G 9%, azúcares totales 44 g, proteína 6G, vitamina C 3 mg 14%, calcio 92mg 7 7 %, Hierro 5mg 26%, potasio 484mg 10%"
987,Pan de mango,1 hrs 30 mins,16,"2 tazas de harina para todo uso, 2 cucharaditas de bicarbonato de sodio, 2 cucharaditas de canela molida, ½ cucharadita de sal, 3 huevos, ¾ taza de mantequilla suavizada, 1 ¼ tazas de azúcar blanca, 1 cucharadita de extracto de vainilla, 2 tazas de mango picado, ½ taza de coco rallada, coco, coco, coco, coco, coco, coco, ¼ taza de nueces picadas","Precaliente el horno a 350 grados F (175 grados C). Grasa y harina 2 sartenes de pan.
Tamizar la harina, el bicarbonato de sodio, la canela y la sal en un tazón grande; Haga un hueco en el centro.
Batir los huevos, la mantequilla, el azúcar y el extracto de vainilla en un tazón separado. Dobla el mango, el coco y las nueces en la mezcla de huevos; Vierta la mezcla resultante en el pozo en el centro de la harina y mezcle bien. Vierta la masa en las hartes preparadas y deje reposar a temperatura ambiente durante 20 minutos.
Hornee en el horno precalentado hasta que un palillo insertado en el centro salga limpio, aproximadamente 1 hora. Enfríe en las sartenes durante 10 minutos antes de retirarse para enfriar completamente sobre una rejilla.","Total de grasa 12g 15%, grasa saturada 7G 33%, colesterol 58 mg 19%, sodio 312mg 14%, carbohidrato total 33g 12%, fibra dietética 1G 5%, azúcares totales 20G, proteína 3G, vitamina C 6 mg 29%, calcio 17mg 1 1 %, Hierro 1 mg 6%, potasio 83mg 2%"
988,Coconut Bibingka masticable (pastel de arroz filipino),1 hrs 20 mins,24,"1 (13.5 onzas) Leche de coco, 1 (14 onzas) lata de leche condensada endulzada, 1 mantequilla de palo, derretida, 4 huevos, 2 (12 onzas) Jars Macapuno Cadenas en jarabe pesado, 2 ½ tazas de harina de arroz dulce (mochiko), 1 taza de azúcar morena llena, 1 cucharada de extracto de vainilla","Precaliente el horno a 350 grados F (175 grados C). Mantequilla una bandeja para hornear con borde de 12x17 pulgadas.
Batir la leche condensada, la leche de coco y la mantequilla derretida juntas en un tazón grande hasta que se combinen. Agregue los huevos, 1 a la vez, y bata hasta que se combine. Agregue Macapuno, 1 frasco a la vez, y bata hasta que se combine. Gradualmente latido en harina de mochiko. Batir en azúcar morena; Batir en extracto de vainilla. Vierta la masa en la bandeja para hornear preparada.
Hornee en el horno precalentado hasta que la parte superior esté dorada y los lados estén ligeramente de color marrón oscuro, de 45 a 50 minutos.
Deje enfriar, aproximadamente 20 minutos, antes de aflojar los lados y cortar en cuadrados.","Total de grasa 10G 13%, grasa saturada 7G 33%, colesterol 47mg 16%, sodio 70mg 3%, carbohidrato total 50 g 18%, fibra dietética 1G 5%, azúcares totales 18G, proteína 4G, vitamina C 1 mg 3%, calcio 65mg 5 5 %, Hierro 1 mg 6%, potasio 126 mg 3%"
989,Mochi de mantequilla de ono,1 hrs 5 mins,12,"1 libra mochiko (harina de arroz glutinoso), 2 ½ tazas de azúcar blanca, 1 cucharadita de horno en polvo, ½ taza de mantequilla, derretida, 3 tazas de leche entera, 5 huevos, 1 cucharadita de extracto de vainilla, 1 taza de coco en forma de coco en escamas","Precaliente el horno a 350 grados F (175 grados C). Engrase una fuente para hornear de 9x13 pulgadas.
En un tazón mediano, mezcle los huevos, la vainilla y la leche. En un tazón más grande separado, revuelva la harina de arroz, el azúcar y el polvo de hornear. Vierta los ingredientes húmedos en los ingredientes secos y revuelva para mezclar. Mezcle la mantequilla derretida y el coco. Verter en el molde preparado.
Hornee durante 1 hora en el horno precalentado. Enfríe por completo, luego corte en cuadrados para servir.","Total de grasa 14g 18%, grasa saturada 8G 42%, colesterol 104mg 35%, sodio 156mg 7%, carbohidrato total 78g 28%, fibra dietética 2G 5%, azúcares totales 47 g, proteína 7 g, calcio 104mg 8%, hierro 1 mg 4% , Potasio 170 mg 4%"
990,Bolas de chocolate suecas (o bolas de coco),2 hrs 20 mins,48,"4 tazas de avena enrollada regular, 1 ¼ tazas de azúcar blanca, ½ taza de cacao sin azúcar en polvo, 1 taza de mantequilla o margarina, suavizado, 2 cucharadas de café fuerte, 1 cucharadita de extracto de vainilla, 2 (1 onza) Cuadrados de chocolate horneado, derretido, ? taza hojuelas de coco","Mezcle la avena, el azúcar y el cacao en un tazón. Agregue la mantequilla y use sus manos para mezclar los ingredientes para hacer una masa gruesa. Mezcle el café, la vainilla y el chocolate hasta que estén completamente mezclados.
Coloque los copos de coco en un tazón pequeño. Pellice pequeñas cantidades de masa y enrolle entre sus manos para hacer bolas pequeñas, aproximadamente 1-1/2 pulgadas de diámetro. Enrolle las bolas en los copos de coco. Las bolas están listas para comer, o pueden refrigerarse 2 horas para volverse más firmes.","Total de grasa 5G 7%, grasa saturada 3G 16%, colesterol 10 mg 3%, sodio 30 mg 1%, carbohidrato total 11 g 4%, fibra dietética 1G 4%, azúcares totales 6G, proteína 1G, calcio 7mg 1%, hierro 1mg 3%3% , Potasio 51mg 1%"
991,Pastel de chocolate alemán de Willard Family,2 hrs 20 mins,10,"1 (4 onzas) Paquete de chocolate para hornear dulce (como el chocolate dulce de Baker's Sweet®): roto en pedazos, ½ taza de agua hirviendo, 1 taza de margarina, ablandado, 2 tazas de azúcar blanca, 4 huevos, separados, 1 cucharadita de extracto de vainilla, 2 ½ tazas de harina de todo propósito, 1 cucharadita de bicarbonato de sodio, ½ cucharadita de sal, 1 taza de suero de leche, 1 taza de leche evaporada, 1 taza de azúcar blanca, 3 yemas de huevo, ¼ de taza de margarina, 1 cucharadita de extracto de vainilla, 1 tazas de coco de coco de topes dulces, coco de escamas, copa de copa, de copa de copa, 1 ?. 1 taza de nueces picadas","Precaliente el horno a 350 grados F (175 grados C). Engrase y harina 3 bandejas de pastel de 8 pulgadas y fondos de línea con papel pergamino.
Coloque los trozos de chocolate en el agua hirviendo y revuelva hasta que el chocolate se haya derretido; Ponga a un lado para enfriar. En un tazón grande, bata 1 taza de margarina ablandada con 2 tazas de azúcar con una batidora eléctrica hasta que estén ligeras y esponjosas. Agregue 4 yemas de huevo, una a la vez, batiendo bien después de cada adición. Batir en 1 cucharadita de extracto de vainilla y la mezcla de agua de chocolate hasta que esté completamente mezclada.
Tamizar la harina, el bicarbonato de sodio y la sal en un tazón. Batir la mezcla de harina en los ingredientes líquidos, alternando con suero de leche, en 3 o 4 adiciones. Batir hasta que la masa esté suave, aproximadamente 1 minuto.
En un tazón de metal o vidrio, bata las claras de huevo reservadas hasta que mantengan picos rígidos cuando los batidores se levanten hacia arriba. Dobla suavemente las claras de huevo batidas en la masa, manteniendo el mayor volumen posible. Vierta la masa en las bandejas de pastel preparadas.
Hornee en el horno precalentado hasta que los pasteles se hayan dorado ligeramente y un palillo insertado en el centro de un pastel salga limpio de 35 a 40 minutos. Deje que los pasteles se enfríen en sartenes antes de retirar.
Para hacer glaseado, vierta la leche evaporada en una cacerola grande y mezcle 1 taza de azúcar, 3 yemas de huevo, 1/4 taza de margarina y 1 cucharadita de extracto de vainilla. Lleve a ebullición, reduzca el fuego a medio y cocine hasta que esté espesado, revolviendo constantemente, aproximadamente 12 minutos. Retire del fuego y mezcle el coco y las nueces, superando el glaseado hasta que se enfríe y se propaga. Helado y llena el pastel con el glaseado de coco.","Total de grasa 42g 54%, grasas saturadas 11 g 57%, colesterol 144mg 48%, sodio 617mg 27%, carbohidrato total 102 g 37%, fibra dietética 4G 13%, azúcares totales 74G, proteína 12 g, vitamina C 1 mg 5%, calcio 134mg 10 10mg 10 %, Hierro 3mg 16%, potasio 274mg 6%"
992,Bizcocho de crema de coco,1 hrs 45 mins,16,"1 taza de mantequilla, suavizado, 1 (8 onzas) de queso crema de paquete, suavizado, 3 tazas de azúcar blanca, 6 huevos, 1 cucharadita de extracto de coco, 3 tazas de harina de uso múltiple, ½ cucharadita de horno en polvo, 2 tazas","Precaliente el horno a 325 grados F (165 grados C). Engrase y harina una sartén de tubo de 10 pulgadas.
Batir la mantequilla y el queso crema juntos en un tazón grande con una batidora eléctrica hasta que se mezcle; Agregue el azúcar y bata hasta que estén ligeros y esponjosos. Mezcle en huevos uno a la vez, luego agregue el extracto de coco. Mezcle la harina y el polvo de hornear hasta que esté humedecido; Agregue el coco en escamas. Coloque la masa en la sartén preparada.
Hornee en el horno precalentado hasta que un palillo insertado en el centro salga limpio, aproximadamente 1 hora 20 minutos. Deje que el pastel se enfríe en la sartén durante 10 minutos; Pase un cuchillo de mesa alrededor de los bordes para aflojar, luego invertir cuidadosamente en una placa de servicio o una rejilla. Deja enfriar por completo.









","Total de grasa 21G 27%, grasa saturada 13G 67%, colesterol 116 mg 39%, sodio 192mg 8%, carbohidrato total 61g 22%, fibra dietética 2G 5%, azúcares totales 41G, proteína 6G, calcio 38mg 3%, hierro 2 mg 10% , Potasio 105mg 2%"
